category	author	title	type	collection	year	course
Optional	"[{:family=>""Henderson"", :given=>""R.""}]"	Managing Innovation in the Information Age	article-journal	Harvard Business Review	1994	9
Optional	"[{:family=>""Hameri"", :given=>""A.P.""}, {:family=>""Nihtila"", :given=>""J.""}]"	Distributed New Product Development Project Based on Internet and World-Wide Web	article-journal	Journal of Production Innovation & Management	1997	9
Optional	"[{:family=>""Chambers"", :given=>""C.A.""}]"	Transforming New Product Development	article-journal	Research-Technology Management	1996-11	9
Optional	"[{:family=>""McCord"", :given=>""K.R.""}, {:family=>""Eppinger"", :given=>""S.D.""}]"	Managing the Integration Problem in Engineering	article-journal	MIT Sloan School of Management Working Paper	1993-08	9
Optional	"[{:family=>""Thamhain"", :given=>""H.""}]"	Engineering Management			1992	9
Optional	"[{:family=>""Schtub"", :given=>""A.""}, {:family=>""Bard"", :given=>""J.""}, {:family=>""Globerson"", :given=>""S.""}]"	Chapter 10 in Project Management: Engineering Technology			1994	9
Optional	"[{:family=>""Suh"", :given=>""N.""}]"	Chapters 4 and 6 in Principles of Design			1990	9
Optional	"[{:family=>""Naylor"", :given=>""H.F.""}]"	Chapter 2 in Construction Project Management			1995	9
Optional	"[{:family=>""Schtub"", :given=>""A.""}, {:family=>""Bard"", :given=>""J.""}, {:family=>""Globerson"", :given=>""S.""}]"	Project Management: Engineering Technology	book		1994	9
Optional	"[{:family=>""Callahan"", :given=>""M.""}, {:family=>""Quackenbush"", :given=>""D.""}, {:family=>""Rowings"", :given=>""G.""}]"	Construction Project Scheduling			1992	9
Optional	"[{:family=>""Meredith"", :given=>""J.""}, {:family=>""Mantel"", :given=>""S.""}]"	Chapter 8 in Project Management: A Managerial Approach			2000	9
Optional	"[{:family=>""Taylor"", :given=>""B.W.""}, {:family=>""Moore"", :given=>""L.J.""}]"	R&D Project Planning with Q-GERT Network Modeling and Simulation	article-journal	Management Science	1980	9
Optional	"[{:family=>""Moder"", :given=>""Philips""}, {:given=>""Davis""}]"	Project Management with CPM			1983	9
Optional	"[{:family=>""Pritsker"", :given=>""A.""}, {:family=>""Alan"", :given=>""B.""}]"	Management Decision Making			1983	9
Optional	"[{:family=>""Badiru"", :given=>""A.B.""}]"	Chapter 4 in Project Management in Manufacturing and High Technology Operations			1996	9
Optional	"[{:family=>""Meredith"", :given=>""J.""}, {:family=>""Mantel"", :given=>""S.""}]"	Chapter 9 in Project Management: A Managerial Approach			2000	9
Optional	"[{:family=>""Moder"", :given=>""Philips""}, {:given=>""Davis""}]"	Chapter 7 in Project Management with CPM			1983	9
Optional	"[{:given=>""Elton""}, {:given=>""Roe""}]"	Bringing Discipline to Project Management				9
Optional	"[{:family=>""Goldratt"", :given=>""E.M.""}]"	Critical Chain			1997	9
Optional	"[{:family=>""Stump"", :given=>""E.J.""}, {:family=>""Ferguson"", :given=>""K.""}]"	The Value of Integrated Project Risk Management	article-journal	INCOSE Symposium	1998	9
Optional	"[{:family=>""Paté-Cornell"", :given=>""M.E.""}, {:family=>""Dillon"", :given=>""R.L.""}]"	Analytical Tools for the Management of Faster-Better-Cheaper Space Missions	paper-conference	Proceedings of the 1998 IEEE Aerospace Conference	1998-03	9
